だいがく, university
こうこう, high school
がくせい, student
だいがくせい, university student
りゅうがくせい, international student
せんせい, teacher
...ねんせい, ...th year student
いちねんせい, first year student
せんこう, major
わたし, I / me
ともだち, friend
...さん, Mr./Ms.
...じん, person from...
にほんじん, Japanese person
いま, now
ごぜん, morning
ごご, afternoon
...じ, o'clock
いちじ, one o'clock
はん, half
にじはん, two and a half
にほん, Japan
アメリカ, America
...ご, language of...
にほんご, Japanese language
...さい, ...years old
でんわ, telephone
...ばん, ...number
ばんごう, number
なまえ, name
なん/なに, what
あのう, um
はい, yes
そうです, that's right
そうですか, is that so
いるぎす, English
オーストラリア, Australia
かんこく, South Korea
かなだ, Canada
ちゅうごく, China
インド, India
エジプト, Egypt
フィリピン, Philippines
アジアけんきゅう, Asian studies
けいざい, economics
こうがく, engineering
こくさいかんけい, international relations
コンピューター, computer
せいじ, politics
せいぶつがく, biology
ビジネス, business
ぶんがく, literature
れきし, history
いしゃ, doctor
かいしゃいん, company employee
かんごし, nurse
こうこうせい, high school student
しゅふ, housewife
だがくいんせい, graduate student
べんごし, lawyer
おかあさん, mother
おとうさん, father
おねえさん, older sister
おにいさん, older brother
いもうと, younger sister
おとうと, younger brother
