Certainly, here's the list:

これ, this
それ, that
あれ, that (over there)
どれ, which one
この, this (specific)
その, that (specific)
あの, that (over there) (specific)
どの, which (specific)
ここ, here
そこ, there
あそこ, over there
どこ, where
だれ, who
おいしい, delicious
さかな, fish
とんかつ, pork cutlet
にく, meat
メニュー, menu
やさい, vegetable
かさ, umbrella
かばん, bag
くつ, shoes
さいふ, wallet
じんず, jeans
じてんしゃ, bicycle
しんぶん, newspaper
スマホ, smartphone
Tシャツ, T-shirt
トーケー, clock
ノート, notebook
ペン, pen
ぼうし, hat
ほんぎんこう, bank
コンビニ, convenience store
トイレ, toilet
としょかん, library
ゆうびんきょく, post office
いるぎす, English
かんこく, South Korea
ちゅうごく, China
えいご, English language
けいざい, economics
コンピューター, computer
ビジネス, business
れきし, history
おかあさん, mother
おとうさん, father
いくら, how much
...えん, ...yen
たかい, expensive
いらっしゃいませ, welcome (used by a store/business)
(...を) おねがいします, (please) (used when making a request)
(...を) ください, (please give me) (used when ordering/requesting something)
じゃあ, well/then
どうぞ, please/go ahead
どうも, thank you
