ゲーム, game
アルバイト (バイト), part-time job
かいもの, shopping
クラス, class
いぬ, dog
ねこ, cat
ひと, person
こども, child
あなた, you
いす, chair
つくえ, desk
しゃしん, photograph
はな, flower
レポート, paper
ごはん, meal
パン, bread
おてら, temple
こうえん, park
スーパー, supermarket
バスてい, bus stop
びょういん, hospital
ホテル, hotel
ほんや, bookstore
まち, town
レストラン, restaurant
きのう, yesterday
...じかん, ...hours
いちじかん, one hour
せんしゅう, last week
とき, when...; (at the time of...)
げつようび, monday
かようび, tuesday
すいようび, wednesday
もくようび, thursday
きんようび, friday
あう, to meet; to see (place に person が)
ある,there is...(place に thing が)
かう, to buy
かく, to write
とる, to take (a picture)
まつ, to wait
わかる, to understand
いる, (a person) is in...; stays at...
ぐらい, about (approximate mesasurement)
ごめんなさい, I'm sorry
それから, and then
だから, so; therefore
たくさん, many; a lot
~と, together (with a person)
どうして, why
ひとりで, alone
もしもし, Hello? (used on the phone)
みぎ, right
ひだり, left
まえ, front
うしろ, back
なか, inside
うえ, on
した, under
ちかく, near; nearby
となり, next
あいだ, between (A と B の)
