たべもの, food  
のみもの, drink  
くだもの, fruit  
やすみ, holiday; day off; absence  
りょこう, travel  
うみ, sea  
サーフィン, surfing  
おみやげ, souvenir  
バス, bus  
てんき, weather  
しゅくだい, homework  
テスト, test  
たんじょうび, birthday  
へや, room  
ぼく, I (used by men)  
エルサイズ, size L  
あたらしい, new  
ふるい, old (thing--not used for people)  
あつい, hot (weather)  
さむい, cold (weather--not used for things)  
あつい, hot (thing)  
いそがしい, busy (people/days)  
おおきい, large  
ちいさい, small  
おもしろい, interesting; funny  
つまらない, boring  
やさしい, easy (problem); kind (person)  
むずかしい, difficult  
かっこいい, good-looking (conjugates like いい)  
こわい, frightening  
たのしい, fun  
やすい, inexpensive; cheap (thing)  
すき, fond of; to like (~が)  
きらい, disgusted with; to dislike (~が)  
だいすき, very fond of; to love (~が)  
だいきらい, to hate (~が)  
きれい, beautiful; clean  
げんき, healthy; energetic  
しずか, quiet  
にぎやか, lively  
ひま, not busy; free (time)  
およぐ, to swim  
きく, to ask (person に)  
のる, to ride; to board (~に)  
やる, to do; to perform (~を)  
でかける, to go out  
いっしょに, together  
すごく, extremely  
だいじょうぶ, it's okay; not to worry.; everything is under control  
とても, very  
どんな, what kind of...  
まい, [counter for flat objects]
